No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
456,"Production method of 3-methylamino-1,2-propylene glycol","MENG XIANFENG 
WANG HAI 
YANG RONGHUA 
ZHANG GONGXIAO",UNIV TAISHAN MEDICAL,CN106631835A,2015-05-19,"C07C213/04 
C07C215/10 
C07D301/26 
C07D303/14","C07C213/04 (CN) 
C07D301/26 (CN) 
C07D303/14 (CN) 
Y02P20/127 (EP) 
C07C213/04, C07C215/10, INV (CN)      ",2017-05-10,2015-08-19,53844505
457,"PRODUCTION OF 1,3-DIOXOLAN-4-YL CARBINOLS","ENOMIYA TAKUJI 
WATANABE MASAYUKI",UBE INDUSTRIES,JPH0219834B2,1984-03-16,"C07D317/20 
C07B61/00 
C07D317/20",,1985-10-02,1985-10-02,12828266
458,METHOD FOR MANUFACTURING CATIONIZED GLYCEROL CELLULOSE,"IMORI YOICHIRO 
MIYAZATO RYO 
MIYOSHI HIDESUKE 
YAMAGUCHI YUMI 
YAMAZAKI NAOYUKI",KAO CORP,JP2015227412A,2014-05-30,"A61K8/73 
A61Q5/00 
A61Q5/02 
C08B11/145",,2015-12-17,2015-12-17,54885065
459,Improvements in or relating to the preparation of new tertiary amines,,THOMAE GMBH DR K,GB761175A,1953-06-26,"A61K47/18 
A61K8/41 
A61Q19/00","A61K47/18 (EP) 
A61K8/41 (EP) 
A61K9/0014 (EP) 
A61Q19/00 (EP) 
A61K2800/75 (EP) 
A61Q17/005 (EP)",1956-11-14,1956-11-14,7545754
460,REACTION OF ETHYLENE/MALEIC ANHYDRIDE STATISTICAL COPOLYMERS WITH POLYAMINES,"BAROZIER JEAN-PIERRE 
NICCO ADRIEN",ETHYLENE PLASTIQUE SA [FR],GB1271134A,1969-05-19,"C08F27/08 
C08F8/00 
C08F8/32 
C08J7/12 
C08L101/00 
C08L23/00 
C08L23/08 
C08L31/04 
C08L33/00 
C08L33/02","C08F8/00 (EP) 
C08F8/00, C08F20/02, INV (EP)      ",1972-04-19,1970-07-16,10227140
461,Method for controlling glycidyl ester in grease,"JIANG YUANRONG 
LIU YETING 
LUO WEI 
WANG YONG",FENGYI SHANGHAI BIOTECHNOLOGY RES & DEV CT CO LTD,CN103060088A,2011-10-18,"A23D9/04 
C11B3/00 
C11B3/04 
C11B3/06 
C11B3/10",,2013-04-24,2013-04-24,48102992
462,OPTICALLY ACTIVE OXAZOLIDINONE DERIVATIVE AND ITS PRODUCTION,KATSUMURA SHIGEO,DAISO CO LTD,JP2973545B2,1991-03-11,"C07D263/24 
C07D263/24",,1993-03-30,1993-03-30,12712190
463,"METHOD OF PRODUCING STORAGE STABLE 1-DI-(C1- TO C3-) ALKYLAMINO-2,3-PROPANEDIOLS","GOETZ PETER [DE] 
MOEHLENKAMP ALOIS [DE]",DEGUSSA [DE],CA2084335A1,1991-12-14,"C07C213/04 
C07C215/12 
C07C213/04 
C07C213/10 
C07C215/10",C07C213/04 (EP),1993-06-15,1993-06-03,6447109
464,Preparation method of composite material for vacuum pump rotary vane,CHENG XIAOFENG,TIANJIN HUACHENG HUAFENG ELECTRICAL EQUIPMENT CO LTD,CN108070221A,2016-11-18,"C08K7/14 
C08L63/00","C08K7/14 (CN) 
C08K7/14, C08L63/00, INV (CN)      ",2018-05-25,2018-05-25,62161142
465,SURFACE MODIFICATION GRAPHENE,SAKANISHI YUICHI,DAICEL CORP,JP2014172781A,2013-03-08,"C01B31/02 
H01B1/04 
H01B1/24",,2014-09-22,2014-09-22,51694402
466,Hydrophobic epoxy resin curing agent and preparation method thereof,"HE SHUANGLIN 
LIU XIONGCE 
SHEN DINGZHONG 
WANG LIYAO 
ZHENG BAOCHANG 
ZHONG XUEQIN",HUNAN KOSEN NEW MATERIAL CO LTD,CN103897145A,2014-04-24,"C07C213/04 
C07C217/28 
C08G59/64 
C09J163/00",,2014-07-02,2014-07-02,50988748
467,PRODUCTION OF POLYGLYCEROL,"TAKEMOTO ETSUO 
UDA SHINZO",DAICEL CHEM,JPH0469621B2,1984-12-19,"C07C41/03 
C07C43/13 
C08G65/26 
C07C41/00 
C07C41/03 
C07C43/13 
C07C67/00 
C08G65/26",,1986-07-02,1986-07-02,17428956
468,Formed hollow container and process,"FURUTA MOTONOBU [JP] 
YAMAGUCHI TAKANARI [JP]",SUMITOMO CHEMICAL CO [JP],TW369499B,1995-05-12,"B32B27/32 
B32B27/36 
B65D1/09 
C08L67/00 
C08L67/02 
C08L67/04","B32B1/02 (US) 
B32B27/08 (US) 
B32B27/32 (US) 
B32B27/34 (US) 
B32B27/36 (EP,US) 
C08L67/00 (EP) 
C08L67/04 (EP) 
B32B2323/043 (US) 
C08L23/0884 (EP) 
Y10T428/29 (EP,US) 
C08L67/00, C08L2666/06, INV (EP)       
C08L67/04, C08L2666/06, INV (EP)      ",1999-09-11,1996-11-13,26453172
469,"METHOD FOR PRODUCING GLYCEROL-alpha,beta-UNSATURATED CARBOXYLIC ACID ESTER","HOSOYA RYUZO 
KATO KENJI",NOF CORP,JP2001294554A,2000-04-13,"B01J31/02 
C07B61/00 
C07C67/26 
C07C69/54 
C07C69/593 
C07C69/60 
B01J31/02 
C07B61/00 
C07C67/26 
C07C69/54 
C07C69/593 
C07C69/60",,2001-10-23,2001-10-23,18624798
470,"ALKOXY-CONTAINING SILANE-MODIFIED PHENOLIC RESIN, RESIN COMPOSITION, EPOXY RESIN HARDENER AND ORGANIC-INORGANIC HYBRID MATERIAL","AIDA HIDEKI 
TAKEDA SHOJI 
TONO TETSUJI",ARAKAWA CHEM IND,JP2001294639A,2000-04-10,"C08G59/62 
C08G8/28 
C08G59/62 
C08G8/28",,2001-10-23,2001-10-23,18621435
471,"Process for the production of 3-mercapto-propanediol-(1,2)","KLEEMANN AXEL [DE] 
NYGREN ROBERT [DE] 
WAGNER RUEDOLF [DE]",DEGUSSA [DE],US4398042A,1980-04-12,"C07C148/00 
A61K31/095 
A61K47/00 
A61K47/20 
B01J21/02 
B01J23/00 
B01J23/02 
B01J29/00 
B01J29/06 
C07C313/00 
C07C319/14 
C07C323/12 
C07C67/00 
C08K5/37 
C11D3/386 
G03C5/305",C07C323/00 (EP),1983-08-09,1981-10-21,6099888
472,"1,2-EPITHIO-3-( beta -CYANOETHOXY)PROPANE",UELZMANN H,GEN TIRE & RUBBER CO,US3716557A,1969-02-28,"C07D1/00 
C07D59/00 
C07D331/02 
C08G59/14 
C08G59/22 
C08G59/30","C07D331/02 (EP) 
C08G59/145 (EP) 
C08G59/226 (EP) 
C08G59/302 (EP)",1973-02-13,1973-02-13,26697898
473,OMEGA-AMINO-CARBOXYLIC ACID AMIDES THEIR PRODUCTION AND UTILISATION AS ANTIMICROBIAL AGENTS,,HENKEL & CIE GMBH,GB1491721A,1973-11-03,"A01N9/20 
A61L13/00 
C07C103/50 
C07C103/68 
C11D3/33 
C11D3/48 
A01N37/20 
A01N37/44 
A01N37/46 
C02F1/50 
C07C237/06","A01N37/44 (EP) 
C02F1/50 (EP) 
C02F2103/023 (EP)",1977-11-16,1975-04-29,5897147
474,POLYMERIC COMPOSITION FOR CAST MOULDING PIEZOELECTRIC COMPOSITE ELEMENTS,"ADRIANOV VLADIMIR MIKHAJLOVICH [RU] 
SEGALLA ANDREJ GENRIKHOVICH [RU] 
ULUKHANOV AJDYN GUMBAT OGLY [RU]",NII EHLPA S O PROIZV OAO NII EHLPA AOOT [RU],RU2009106435A,2009-02-26,"C08L63/00 
C09K3/10",,2010-09-10,2010-09-10,42799932
475,STABILIZATION OF HALOGENATED HYDROCARBONS,"NAKAMURA S 
NISHIHARA A",ASAHI DENKA KOGYO KK,US3763048A,1970-08-31,"C09D9/00 
C11D7/50 
C23G5/02 
C07C17/42","C07C17/42 (EP) 
C07C17/42, C07C19/05, INV (EP)      ",1973-10-02,1973-10-02,26416755
476,Use of N-alkyl-N'-polyhydroxyalkylalkylenediamines as antimicrobial active substances,"LEHMANN RUDOLF DR [DE] 
MAAK NORBERT DIPL CHEM DR [DE]",HENKEL KGAA [DE],DE3147990A1,1981-12-04,"A01N33/04 
C09D5/02 
C09D5/14 
C09J3/00 
C10M1/26 
C10M1/32 
A01N61/00 
A61K7/40 
C02F1/50 
C11D3/48 
A01N33/08 
A01N33/08 
A01N61/00 
A61K8/41 
A61Q15/00 
A61Q17/00 
C02F1/50 
C09D5/02 
C09D5/14 
C09J4/00 
C10M169/00 
C11D3/48","A01N33/08 (EP) 
A61K8/41 (EP) 
A61Q15/00 (EP) 
A61Q17/005 (EP) 
C11D3/48 (EP)",1983-06-16,1983-06-16,6147861
477,Process for stabilizing halogenated hydrocarbons particularly trichloroethylene and tetrachloroethylene against decomposition,,EDISON SOC,GB1135314A,1965-03-12,C07C17/42,"C07C17/42 (EP) 
C07C17/42, C07C21/10, INV (EP)       
C07C17/42, C07C21/12, INV (EP)      ",1968-12-04,1966-08-01,11120256
478,PRODUCTION OF GLYCIDYL METHACRYLATE,,DEGUSSA,GB1441085A,1974-05-14,"C07D303/16 
B01J23/00 
B01J31/00 
C07B61/00 
C07D301/00 
C07D303/04 
C07D303/16",C07D303/16 (EP),1976-06-30,1975-11-13,5915531
479,Flexible epoxy resin curing agent and synthesis method thereof,YUAN YUAN,HUNAN MAGPOW ADHESIVE IND,CN104177589A,2014-08-19,"C07C213/04 
C07C217/28 
C08G59/64",,2014-12-03,2014-12-03,51958952
480,VINYL CHLORIDE RESIN COMPOSITION,ENDO TOSHIRO,DAICEL CHEM,JPH09194660A,1996-01-22,"C08K5/103 
C08L27/06 
C08K5/10 
C08K5/103 
C08L27/06",,1997-07-29,1997-07-29,11691410
